uf_busca,cidade_busca,universidade_nome,campus_nome,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
PB,Joao Pessoa,Faculdade Internacional da Paraíba - FPB,FACULDADE INTERNACIONAL DA PARAÍBA - Tambiá,Gastronomia,Tecnológico,Matutino,903.07,1,1,,,624.06,612.96,,
PB,Joao Pessoa,Faculdade Uninassau João Pessoa,FACULDADE MAURÍCIO DE NASSAU DE JOÃO PESSOA - Estados,Gastronomia,Tecnológico,Noturno,842.69,2,2,,,591.70,591.86,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Gastronomia,Tecnológico,Curso a Distância,439.79,,,1,,,,583.26,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 02 - Expedicionários,Geografia,Licenciatura,Curso a Distância,237.00,,,1,,,,574.06,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Geografia,Licenciatura,Curso a Distância,256.86,,,1,,,,535.42,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Gestão Ambiental,Tecnológico,Matutino,331.00,2,1,,,602.28,566.10,,
PB,Joao Pessoa,Centro Universitário de João Pessoa - Unipê - UNIPÊ,CAMPUS UNIPÊ - Água Fria,Gestão Ambiental,Tecnológico,Noturno,360.60,1,,,,634.90,,,
PB,Joao Pessoa,Centro Universitário Internacional - Uninter - UNINTER,PAP JOÃO PESSOA 01 - Miramar,Gestão Ambiental,Tecnológico,Curso a Distância,278.00,1,,,,656.56,,,
PB,Joao Pessoa,Universidade Cruzeiro do Sul - UNICSUL,"COESP - JOÃO PESSOA, PARAÍBA - Centro",Gestão Ambiental,Tecnológico,Curso a Distância,256.86,,,1,,,,520.44,
PB,Joao Pessoa,Centro Universitário Estácio de Ribeirão Preto - Estácio Ribeirão Pre - ESTÁCIO RIBEIRÃO PRE,EAD JOÃO PESSOA - BANCÁRIOS - PB - Tambaú,Gestão Comercial,Tecnológico,Curso a Distância,360.00,1,,,,519.10,,,
